colour	x	y	showSelectedlegendcolour	PANEL	fill
#F8766D	1	42.9488333333333	e-2	1	#F8766D
#F8766D	2	41.0175	e-2	1	#F8766D
#7CAE00	1	43.0133333333333	e-3	1	#7CAE00
#7CAE00	2	42.852	e-3	1	#7CAE00
#00BFC4	1	87.8996666666666	e-4	1	#00BFC4
#00BFC4	2	83.8371666666665	e-4	1	#00BFC4
#C77CFF	1	37.8956666666733	e-4e5	1	#C77CFF
#C77CFF	2	37.6253333333346	e-4e5	1	#C77CFF
#F8766D	1	0.0779999999999745	e-2	2	#F8766D
#F8766D	2	0.0755000000000052	e-2	2	#F8766D
#7CAE00	1	0.0820000000001074	e-3	2	#7CAE00
#7CAE00	2	0.125749999999925	e-3	2	#7CAE00
#00BFC4	1	0.0850000000000364	e-4	2	#00BFC4
#00BFC4	2	0.338000000000193	e-4	2	#00BFC4
#C77CFF	1	0.0662500000034924	e-4e5	2	#C77CFF
#C77CFF	2	0.0762499999909778	e-4e5	2	#C77CFF
#F8766D	1	0.211749999999995	e-2	3	#F8766D
#F8766D	2	0.207499999999982	e-2	3	#F8766D
#7CAE00	1	0.222249999999803	e-3	3	#7CAE00
#7CAE00	2	0.224499999999807	e-3	3	#7CAE00
#00BFC4	1	0.27274999999986	e-4	3	#00BFC4
#00BFC4	2	0.563249999999925	e-4	3	#00BFC4
#C77CFF	1	0.195750000006228	e-4e5	3	#C77CFF
#C77CFF	2	0.191499999993539	e-4e5	3	#C77CFF
#F8766D	1	0.219999999999999	e-2	4	#F8766D
#F8766D	2	0.211999999999989	e-2	4	#F8766D
#7CAE00	1	0.238249999999652	e-3	4	#7CAE00
#7CAE00	2	0.243499999999813	e-3	4	#7CAE00
#00BFC4	1	0.278250000000298	e-4	4	#00BFC4
#00BFC4	2	0.545749999999771	e-4	4	#00BFC4
#C77CFF	1	0.19550000000163	e-4e5	4	#C77CFF
#C77CFF	2	0.206500000000233	e-4e5	4	#C77CFF
#F8766D	1	1.50625000000002	e-2	5	#F8766D
#F8766D	2	1.54075	e-2	5	#F8766D
#7CAE00	1	2.43824999999992	e-3	5	#7CAE00
#7CAE00	2	2.46049999999945	e-3	5	#7CAE00
#00BFC4	1	4.51000000000022	e-4	5	#00BFC4
#00BFC4	2	3.77625000000012	e-4	5	#00BFC4
#C77CFF	1	1.53225000000384	e-4e5	5	#C77CFF
#C77CFF	2	1.53800000000774	e-4e5	5	#C77CFF
#F8766D	1	1.66624999999998	e-2	6	#F8766D
#F8766D	2	1.67025	e-2	6	#F8766D
#7CAE00	1	2.65125	e-3	6	#7CAE00
#7CAE00	2	2.69349999999997	e-3	6	#7CAE00
#00BFC4	1	2.87199999999984	e-4	6	#00BFC4
#00BFC4	2	2.68299999999999	e-4	6	#00BFC4
#C77CFF	1	1.62475000000995	e-4e5	6	#C77CFF
#C77CFF	2	1.66924999999173	e-4e5	6	#C77CFF
#F8766D	1	1.06200000000004	e-2	7	#F8766D
#F8766D	2	1.05849999999998	e-2	7	#F8766D
#7CAE00	1	1.1077499999999	e-3	7	#7CAE00
#7CAE00	2	1.17225000000007	e-3	7	#7CAE00
#00BFC4	1	2.08474999999976	e-4	7	#00BFC4
#00BFC4	2	1.9079999999999	e-4	7	#00BFC4
#C77CFF	1	1.05249999999796	e-4e5	7	#C77CFF
#C77CFF	2	1.08050000000367	e-4e5	7	#C77CFF
#F8766D	1	0.564999999999969	e-2	8	#F8766D
#F8766D	2	0.531749999999988	e-2	8	#F8766D
#7CAE00	1	0.576999999999998	e-3	8	#7CAE00
#7CAE00	2	0.602750000000014	e-3	8	#7CAE00
#00BFC4	1	1.53874999999994	e-4	8	#00BFC4
#00BFC4	2	1.31574999999975	e-4	8	#00BFC4
#C77CFF	1	0.54500000000553	e-4e5	8	#C77CFF
#C77CFF	2	0.543250000002445	e-4e5	8	#C77CFF
#F8766D	1	19.38575	e-2	9	#F8766D
#F8766D	2	18.72325	e-2	9	#F8766D
#7CAE00	1	31.6717500000001	e-3	9	#7CAE00
#7CAE00	2	30.43	e-3	9	#7CAE00
#00BFC4	1	29.43325	e-4	9	#00BFC4
#00BFC4	2	28.5719999999999	e-4	9	#00BFC4
#C77CFF	1	19.6320000000123	e-4e5	9	#C77CFF
#C77CFF	2	18.7807499999981	e-4e5	9	#C77CFF
#F8766D	1	1.44950000000003	e-2	10	#F8766D
#F8766D	2	1.45624999999998	e-2	10	#F8766D
#7CAE00	1	1.5907500000003	e-3	10	#7CAE00
#7CAE00	2	1.57700000000023	e-3	10	#7CAE00
#00BFC4	1	2.99799999999982	e-4	10	#00BFC4
#00BFC4	2	2.82925	e-4	10	#00BFC4
#C77CFF	1	1.43824999999924	e-4e5	10	#C77CFF
#C77CFF	2	1.44099999999889	e-4e5	10	#C77CFF
#F8766D	1	3.40174999999999	e-2	11	#F8766D
#F8766D	2	3.47900000000002	e-2	11	#F8766D
#7CAE00	1	5.29975000000013	e-3	11	#7CAE00
#7CAE00	2	5.12274999999999	e-3	11	#7CAE00
#00BFC4	1	6.71900000000005	e-4	11	#00BFC4
#00BFC4	2	6.6585	e-4	11	#00BFC4
#C77CFF	1	3.45875000000524	e-4e5	11	#C77CFF
#C77CFF	2	3.51050000000396	e-4e5	11	#C77CFF
#F8766D	1	0.313750000000028	e-2	12	#F8766D
#F8766D	2	0.308749999999975	e-2	12	#F8766D
#7CAE00	1	0.324749999999994	e-3	12	#7CAE00
#7CAE00	2	0.315000000000282	e-3	12	#7CAE00
#00BFC4	1	0.892000000000052	e-4	12	#00BFC4
#00BFC4	2	0.606749999999692	e-4	12	#00BFC4
#C77CFF	1	0.30449999999837	e-4e5	12	#C77CFF
#C77CFF	2	0.30000000000291	e-4e5	12	#C77CFF
#F8766D	1	1.92250000000001	e-2	13	#F8766D
#F8766D	2	1.87275	e-2	13	#F8766D
#7CAE00	1	2.11850000000027	e-3	13	#7CAE00
#7CAE00	2	2.06674999999996	e-3	13	#7CAE00
#00BFC4	1	3.81299999999987	e-4	13	#00BFC4
#00BFC4	2	3.54475000000025	e-4	13	#00BFC4
#C77CFF	1	1.9427499999947	e-4e5	13	#C77CFF
#C77CFF	2	1.92099999998754	e-4e5	13	#C77CFF
#F8766D	1	1.37600000000001	e-2	14	#F8766D
#F8766D	2	1.32949999999997	e-2	14	#F8766D
#7CAE00	1	1.49574999999982	e-3	14	#7CAE00
#7CAE00	2	1.4994999999999	e-3	14	#7CAE00
#00BFC4	1	1.9652500000002	e-4	14	#00BFC4
#00BFC4	2	1.8427499999998	e-4	14	#00BFC4
#C77CFF	1	1.33800000000338	e-4e5	14	#C77CFF
#C77CFF	2	1.27900000000227	e-4e5	14	#C77CFF
#F8766D	1	0.370749999999987	e-2	15	#F8766D
#F8766D	2	0.373249999999984	e-2	15	#F8766D
#7CAE00	1	0.618500000000153	e-3	15	#7CAE00
#7CAE00	2	0.668499999999881	e-3	15	#7CAE00
#00BFC4	1	0.749250000000075	e-4	15	#00BFC4
#00BFC4	2	0.661999999999807	e-4	15	#00BFC4
#C77CFF	1	0.355749999995169	e-4e5	15	#C77CFF
#C77CFF	2	0.373749999998836	e-4e5	15	#C77CFF
#F8766D	1	1.17300000000003	e-2	16	#F8766D
#F8766D	2	1.22374999999997	e-2	16	#F8766D
#7CAE00	1	1.24474999999984	e-3	16	#7CAE00
#7CAE00	2	1.22600000000011	e-3	16	#7CAE00
#00BFC4	1	2.65200000000004	e-4	16	#00BFC4
#00BFC4	2	2.3494999999998	e-4	16	#00BFC4
#C77CFF	1	1.3185000000085	e-4e5	16	#C77CFF
#C77CFF	2	1.1730000000025	e-4e5	16	#C77CFF
#F8766D	1	2.89600000000004	e-2	17	#F8766D
#F8766D	2	2.59124999999997	e-2	17	#F8766D
#7CAE00	1	4.59449999999993	e-3	17	#7CAE00
#7CAE00	2	4.24525000000017	e-3	17	#7CAE00
#00BFC4	1	3.60050000000024	e-4	17	#00BFC4
#00BFC4	2	3.28550000000019	e-4	17	#00BFC4
#C77CFF	1	2.88150000000314	e-4e5	17	#C77CFF
#C77CFF	2	2.63374999999359	e-4e5	17	#C77CFF
#F8766D	1	2.42900000000003	e-2	18	#F8766D
#F8766D	2	2.21724999999998	e-2	18	#F8766D
#7CAE00	1	3.61749999999995	e-3	18	#7CAE00
#7CAE00	2	3.54924999999991	e-3	18	#7CAE00
#00BFC4	1	3.63549999999987	e-4	18	#00BFC4
#00BFC4	2	3.57175000000007	e-4	18	#00BFC4
#C77CFF	1	2.35649999999441	e-4e5	18	#C77CFF
#C77CFF	2	2.20050000000629	e-4e5	18	#C77CFF
